commit_sha	submodule
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	git-hangup-investigation
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	git-lfs-lite
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	githooks
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	llama-cpp-tk
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	mcp
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	mdns-inspector
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	mouse-pointer
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	pictogram
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	remove-desktop-ini
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	shellex-rust
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	static-lunr
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	test/add-http-tests-and-fix-stdio
0bacf95c8749d1e77a995d49fb0eccbbece21fb1	windows-moukaeritai-work
0cfe43c83dc2ff53e6504a8b7a4177407df12014	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0cfe43c83dc2ff53e6504a8b7a4177407df12014	git-hangup-investigation
0cfe43c83dc2ff53e6504a8b7a4177407df12014	git-lfs-lite
0cfe43c83dc2ff53e6504a8b7a4177407df12014	githooks
0cfe43c83dc2ff53e6504a8b7a4177407df12014	llama-cpp-tk
0cfe43c83dc2ff53e6504a8b7a4177407df12014	mcp
0cfe43c83dc2ff53e6504a8b7a4177407df12014	mdns-inspector
0cfe43c83dc2ff53e6504a8b7a4177407df12014	mouse-pointer
0cfe43c83dc2ff53e6504a8b7a4177407df12014	pictogram
0cfe43c83dc2ff53e6504a8b7a4177407df12014	remove-desktop-ini
0cfe43c83dc2ff53e6504a8b7a4177407df12014	shellex-rust
0cfe43c83dc2ff53e6504a8b7a4177407df12014	static-lunr
0cfe43c83dc2ff53e6504a8b7a4177407df12014	test/add-http-tests-and-fix-stdio
0cfe43c83dc2ff53e6504a8b7a4177407df12014	windows-moukaeritai-work
0d1995496d4614dacb7a7ccaf4282437677172ae	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0d1995496d4614dacb7a7ccaf4282437677172ae	git-hangup-investigation
0d1995496d4614dacb7a7ccaf4282437677172ae	git-lfs-lite
0d1995496d4614dacb7a7ccaf4282437677172ae	githooks
0d1995496d4614dacb7a7ccaf4282437677172ae	llama-cpp-tk
0d1995496d4614dacb7a7ccaf4282437677172ae	mcp
0d1995496d4614dacb7a7ccaf4282437677172ae	mdns-inspector
0d1995496d4614dacb7a7ccaf4282437677172ae	mouse-pointer
0d1995496d4614dacb7a7ccaf4282437677172ae	pictogram
0d1995496d4614dacb7a7ccaf4282437677172ae	remove-desktop-ini
0d1995496d4614dacb7a7ccaf4282437677172ae	shellex-rust
0d1995496d4614dacb7a7ccaf4282437677172ae	static-lunr
0d1995496d4614dacb7a7ccaf4282437677172ae	test/add-http-tests-and-fix-stdio
0d1995496d4614dacb7a7ccaf4282437677172ae	windows-moukaeritai-work
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	git-hangup-investigation
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	git-lfs-lite
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	githooks
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	llama-cpp-tk
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	mcp
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	mdns-inspector
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	mouse-pointer
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	pictogram
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	remove-desktop-ini
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	shellex-rust
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	static-lunr
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	test/add-http-tests-and-fix-stdio
0d95224f02ccd7ffbb7e271f9d4beffefbf69ab5	windows-moukaeritai-work
0dd408118b222b17e50b8b8fce35a4747f4d311f	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0dd408118b222b17e50b8b8fce35a4747f4d311f	git-hangup-investigation
0dd408118b222b17e50b8b8fce35a4747f4d311f	git-lfs-lite
0dd408118b222b17e50b8b8fce35a4747f4d311f	githooks
0dd408118b222b17e50b8b8fce35a4747f4d311f	llama-cpp-tk
0dd408118b222b17e50b8b8fce35a4747f4d311f	mcp
0dd408118b222b17e50b8b8fce35a4747f4d311f	mdns-inspector
0dd408118b222b17e50b8b8fce35a4747f4d311f	mouse-pointer
0dd408118b222b17e50b8b8fce35a4747f4d311f	pictogram
0dd408118b222b17e50b8b8fce35a4747f4d311f	remove-desktop-ini
0dd408118b222b17e50b8b8fce35a4747f4d311f	shellex-rust
0dd408118b222b17e50b8b8fce35a4747f4d311f	static-lunr
0dd408118b222b17e50b8b8fce35a4747f4d311f	test/add-http-tests-and-fix-stdio
0dd408118b222b17e50b8b8fce35a4747f4d311f	windows-moukaeritai-work
0e0528b5236853f17379db130dfee12653d91e26	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0e0528b5236853f17379db130dfee12653d91e26	git-hangup-investigation
0e0528b5236853f17379db130dfee12653d91e26	git-lfs-lite
0e0528b5236853f17379db130dfee12653d91e26	githooks
0e0528b5236853f17379db130dfee12653d91e26	llama-cpp-tk
0e0528b5236853f17379db130dfee12653d91e26	mcp
0e0528b5236853f17379db130dfee12653d91e26	mdns-inspector
0e0528b5236853f17379db130dfee12653d91e26	mouse-pointer
0e0528b5236853f17379db130dfee12653d91e26	pictogram
0e0528b5236853f17379db130dfee12653d91e26	remove-desktop-ini
0e0528b5236853f17379db130dfee12653d91e26	shellex-rust
0e0528b5236853f17379db130dfee12653d91e26	static-lunr
0e0528b5236853f17379db130dfee12653d91e26	test/add-http-tests-and-fix-stdio
0e0528b5236853f17379db130dfee12653d91e26	windows-moukaeritai-work
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	feat/mcp-filelist-server
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	git-hangup-investigation
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	git-lfs-lite
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	githooks
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	llama-cpp-tk
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	mcp
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	mdns-inspector
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	mouse-pointer
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	pictogram
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	remove-desktop-ini
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	shellex-rust
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	static-lunr
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	test/add-http-tests-and-fix-stdio
0f02209b5c1ed88d1cf03974064d9a3d5b48df3c	windows-moukaeritai-work
0f33767ece2f3b97161c1f32e197fd8272d79170	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0f33767ece2f3b97161c1f32e197fd8272d79170	git-hangup-investigation
0f33767ece2f3b97161c1f32e197fd8272d79170	git-lfs-lite
0f33767ece2f3b97161c1f32e197fd8272d79170	githooks
0f33767ece2f3b97161c1f32e197fd8272d79170	llama-cpp-tk
